Molecule,Structure,smiles string,DipoleMoment
dichlorosilane,SiH2Cl2,[SiH2](Cl)Cl,1.13
Disulfane,H2S2,SS,1.17
Phosgene,CCl2O,C(=O)(Cl)Cl,1.17
Silicon trifluoride radical,SiF3,F[Si](F)F,1.2
Silicon difluoride,SiF2,F[Si]F,1.23
dimethylphosphine,CH3PHCH3,CPC,1.23
Monochlorine monoxide,ClO,[O]Cl,1.239
Boron monohydride,BH,[BH],1.27
fluorodichloromethane,CHFCl2,C(F)(Cl)Cl,1.29
Methane selenol,CH3SeH,C[Se],1.291
monofluorosilane,SiH3F,F[SiH3],1.297
hydrogen boron sulfide,HBS,B=S,1.298
Dimethyl ether,CH3OCH3,COC,1.3
Sulfur monoxide,SO,O=S,1.31
chlorosilane,SiH3Cl,[SiH3]Cl,1.31
methyl amine,CH3NH2,CN,1.31
bromosilane,SiH3Br,[SiH3]Br,1.319
Hypobromous acid,HOBr,OBr,1.384
Formic acid,HCOOH,C(=O)O,1.41
dimethylselenide,CH3SeCH3,C[Se]C,1.41
Bromine monofluoride,BrF,FBr,1.422
dibromomethane,CH2Br2,C(Br)Br,1.43
Perfluoroperoxide,FOOF,O(OF)F,1.44
Cyano radical,CN,[C-]#N,1.45
Difluorodisulfane,FSSF,FSSF,1.45
thionyl chloride,SOCl2,O=S(Cl)Cl,1.45
Disulfur monoxide,SSO,O=S=S,1.47
Ammonia,NH3,N,1.47
diazomethane,CH2NN,C=[N+]=[N-],1.5
"Methane, bromodifluoro-",CHBrF2,C(F)(F)Br,1.5
fluorochlorobromomethane,CHFClBr,C(F)(Cl)Br,1.5
Dimethyl sulfide,CH3SCH3,CSC,1.5
hypochlorous acid,HOCl,OCl,1.507
Selenium monofluoride,SeF,F[Se],1.52
Methanethiol,CH3SH,CS,1.52
Aluminum monofluoride,AlF,F[Al],1.53
N-methylmethanimine,CH2NCH3,CN=C,1.53
Sulfur monoxide,SO,O=S,1.55
Arsenous trichloride,AsCl3,Cl[As](Cl)Cl,1.59
diazirine,CH2NN,N1N=C1,1.59
Disulfur dichloride,ClSSCl,S(SCl)Cl,1.6
Methylene chloride,CH2Cl2,C(Cl)Cl,1.6
Bromine monoxide,BrO,[Br]O,1.61
Isocyanic acid,HNCO,C(=N)=O,1.613
methyl iodide,CH3I,CI,1.62
Sulfur dioxide,SO2,O=S=O,1.63
Thioformaldehyde,H2CS,C=S,1.647
"Methane, trifluoro-",CHF3,C(F)(F)F,1.65
Hydroxyl radical,OH,[OH],1.66
Nitrosyl hydride,HNO,N=O,1.67
Borane carbonyl,BH3CO,[B]OC,1.698
hydrogen azide,HN3,N=[N+]=[N-],1.7
Methyl alcohol,CH3OH,CO,1.7
silicon monosulfide,SiS,[Si]=S,1.73
"Methane, bromofluoro-",CH2BrF,C(F)Br,1.739
Scandium monohydride,ScH,[ScH],1.74
Hydrazine,N2H4,NN,1.75
Phosphoryl fluoride,F3PO,O=P(F)(F)F,1.76
Hydrogen peroxide,H2O2,OO,1.77
methyl formate,CH3OCHO,COC=O,1.77
Hydrogen methyl disulfide,CH3SSH,CSS,1.796
Mononitrogen monosulfide,NS,[N]=S,1.81
Nitrosyl fluoride,FNO,N(=O)F,1.81
Sulfuryl chloride,SO2Cl2,O=S(=O)(Cl)Cl,1.81
methyl bromide,CH3Br,CBr,1.81
Hydrogen fluoride,HF,F,1.82
fluorochloromethane,CH2FCl,ClCF,1.82
Methyl fluoride,CH3F,CF,1.85
Water-d1,HDO,[2H]O,1.852
Water,H2O,O,1.855
Deuterium oxide,D2O,[2H]O[2H],1.855
Nitrosyl chloride,ClNO,N(=O)Cl,1.866
Methyl chloride,CH3Cl,CCl,1.87
Phosphorus monoxide,PO,O=[P],1.88
diiminomethane,HNCNH,N=C=N,1.9
Thiazyl fluoride,FSN,N#SF,1.902
difluoramine,NHF2,N(F)F,1.92
"Methane, difluoro-",CH2F2,C(F)F,1.97
